Match Number,Round Number,Date,Location,Home Team,Away Team,Result
5,1,08/08/2025 20:00,Fortuna Sittard Stadion,Fortuna Sittard,Go Ahead Eagles,2 - 2
8,1,09/08/2025 16:30,Goffertstadion,N.E.C. Nijmegen,Excelsior Rotterdam,5 - 0
9,1,09/08/2025 18:45,De Kuip,Feyenoord,NAC Breda,2 - 0
2,1,09/08/2025 20:00,Abe Lenstra Stadion,sc Heerenveen,FC Volendam,1 - 1
7,1,09/08/2025 21:00,Philips Stadion,PSV,Sparta Rotterdam,6 - 1
1,1,10/08/2025 12:15,MAC³PARK Stadion,PEC Zwolle,FC Twente,1 - 0
3,1,10/08/2025 14:30,AFAS Stadion,AZ,FC Groningen,4 - 1
6,1,10/08/2025 14:30,Johan Cruyff Arena,Ajax,Telstar,2 - 0
4,1,10/08/2025 16:45,Stadion Galgenwaard,FC Utrecht,Heracles Almelo,4 - 0
11,2,15/08/2025 20:00,Sportpark Schoonenberg,Telstar,PEC Zwolle,0 - 2
14,2,16/08/2025 18:45,Van Donge & De Roo Stadion,Excelsior Rotterdam,Feyenoord,1 - 2
12,2,16/08/2025 20:00,Asito Stadion,Heracles Almelo,N.E.C. Nijmegen,1 - 4
18,2,16/08/2025 21:00,Euroborg,FC Groningen,sc Heerenveen,2 - 1
15,2,17/08/2025 12:15,De Adelaarshorst,Go Ahead Eagles,Ajax,2 - 2
13,2,17/08/2025 14:30,Sparta Stadion Het Kasteel,Sparta Rotterdam,FC Utrecht,2 - 1
16,2,17/08/2025 14:30,De Grolsch Veste,FC Twente,PSV,0 - 2
17,2,17/08/2025 16:45,Kras Stadion,FC Volendam,AZ,2 - 2
10,2,17/08/2025 20:00,Rat Verlegh Stadion,NAC Breda,Fortuna Sittard,2 - 1
27,3,23/08/2025 16:30,De Adelaarshorst,Go Ahead Eagles,Sparta Rotterdam,0 - 3
22,3,23/08/2025 18:45,Philips Stadion,PSV,FC Groningen,4 - 2
23,3,23/08/2025 21:00,Sportpark Schoonenberg,Telstar,FC Volendam,2 - 2
24,3,24/08/2025 12:15,Abe Lenstra Stadion,sc Heerenveen,FC Twente,1 - 2
